Instance,Income
112195,8817
112196,18007
112197,8639
112198,15049
112199,5198
112200,23680
112201,37449
112202,60204
112203,19557
112204,70382
112205,19112
112206,131791
112207,6741
112208,32222
112209,67702
112210,13375
112211,15406
112212,53920
112213,20172
112214,9645
112215,9368
112216,45704
112217,18246
112218,21947
112219,14084
112220,23175
112221,6429
112222,18596
112223,5072
112224,4755
112225,6940
112226,21395
112227,47247
112228,27088
112229,27924
112230,23242
112231,625
112232,6412
112233,28970
112234,21189
112235,8562
112236,27185
112237,2929
112238,30775
112239,8321
112240,27255
112241,2009
112242,18108
112243,17859
112244,16871
112245,10378
112246,44614
112247,6473
112248,43372
112249,1647
112250,6670
112251,18547
112252,15428
112253,22776
112254,26816
112255,17813
112256,3723
112257,12185
112258,9386
112259,6871
112260,52160
112261,17599
112262,24087
112263,3802
112264,4482
112265,11949
112266,4630
112267,130820
112268,23870
112269,29977
112270,24360
112271,30515
112272,37210
112273,22481
112274,3626
112275,5391
112276,24511
112277,16067
112278,21535
112279,3404
112280,35564
112281,5871
112282,52909
112283,58971
112284,11204
112285,17361
112286,28940
112287,5714
112288,47135
112289,42998
112290,30282
112291,22884
112292,36427
112293,14292
112294,17967
112295,8341
112296,29825
112297,36335
112298,39108
112299,25114
112300,16131
112301,17658
112302,5832
112303,61819
112304,13948
112305,20814
112306,59316
112307,24405
112308,37758
112309,48812
112310,4368
112311,21654
112312,39628
112313,23436
112314,12115
112315,33577
112316,7124
112317,6141
112318,32851
112319,18466
112320,33822
112321,20492
112322,49264
112323,81500
112324,51265
112325,24326
112326,6122
112327,6834
112328,7599
112329,51324
112330,33573
112331,64639
112332,6552
112333,4636
112334,14684
112335,29999
112336,24661
112337,64840
112338,37614
112339,25332
112340,25082
112341,55441
112342,10873
112343,7509
112344,9099
112345,33267
112346,63123
112347,3097
112348,16091
112349,7928
112350,54359
112351,26959
112352,33904
112353,-866
112354,41326
112355,17614
112356,30053
112357,46495
112358,25756
112359,20380
112360,7328
112361,24888
112362,54823
112363,11696
112364,-1552
112365,4495
112366,8761
112367,38557
112368,1286
112369,28374
112370,8011
112371,7482
112372,10344
112373,30833
112374,32493
112375,681
112376,43541
112377,6328
112378,18511
112379,16822
112380,26984
112381,8241
112382,7943
112383,28881
112384,20330
112385,11123
112386,1960
112387,53579
112388,33299
112389,43379
112390,15913
112391,3536
112392,92186
112393,36696
112394,21259
112395,21762
112396,37614
112397,37257
112398,33133
112399,58998
112400,10834
112401,34400
112402,56774
112403,19646
112404,26202
112405,39672
112406,21242
112407,16989
112408,33966
112409,11848
112410,11926
112411,21016
112412,21881
112413,938
112414,70622
112415,35446
112416,5394
112417,16645
112418,38145
112419,15070
112420,7895
112421,11529
112422,16411
112423,17069
112424,26561
112425,3158
112426,30997
112427,19183
112428,19653
112429,6673
112430,23805
112431,38205
112432,4996
112433,29411
112434,24264
112435,45809
112436,2752
112437,26421
112438,25722
112439,28470
112440,64639
112441,46472
112442,5343
112443,28577
112444,-495
112445,25140
112446,23858
112447,42569
112448,13387
112449,12878
112450,20142
112451,30169
112452,16030
112453,32996
112454,44090
112455,39497
112456,35761
112457,29158
112458,32999
112459,33997
112460,26926
112461,27950
112462,22264
112463,54393
112464,6917
112465,4006
112466,10574
112467,28664
112468,35144
112469,18062
112470,25278
112471,41742
112472,18373
112473,65014
112474,32068
112475,20703
112476,30875
112477,15503
112478,20579
112479,8155
112480,15338
112481,15430
112482,48611
112483,24182
112484,17143
112485,14176
112486,28590
112487,13102
112488,23589
112489,18397
112490,1779
112491,26226
112492,5623
112493,26279
112494,6159
112495,246
112496,4921
112497,90435
112498,6503
112499,33265
112500,4937
112501,9281
112502,14650
112503,8821
112504,5029
112505,22076
112506,40648
112507,12930
112508,92186
112509,17915
112510,28808
112511,24568
112512,35773
112513,36902
112514,27617
112515,51353
112516,29008
112517,7071
112518,84994
112519,3279
112520,21101
112521,12379
112522,30418
112523,42957
112524,33827
112525,23222
112526,18126
112527,38738
112528,19631
112529,15564
112530,29893
112531,17808
112532,33086
112533,5024
112534,20703
112535,12734
112536,170035
112537,7747
112538,29
112539,1555
112540,22080
112541,20740
112542,50905
112543,14578
112544,36712
112545,7810
112546,21838
112547,3328
112548,13747
112549,1876
112550,19438
112551,21336
112552,18451
112553,22899
112554,42893
112555,24951
112556,60919
112557,14694
112558,57920
112559,12622
112560,29714
112561,49817
112562,979
112563,34820
112564,41722
112565,27870
112566,32049
112567,7030
112568,23942
112569,16347
112570,25212
112571,44124
112572,38075
112573,17297
112574,22946
112575,19813
112576,12437
112577,17247
112578,18849
112579,10765
112580,782
112581,14348
112582,19991
112583,4765
112584,27270
112585,15707
112586,28627
112587,29854
112588,34074
112589,3528
112590,7248
112591,36646
112592,30242
112593,17385
112594,6967
112595,6455
112596,42478
112597,26026
112598,18076
112599,10247
112600,9420
112601,12125
112602,41154
112603,26788
112604,21944
112605,19190
112606,5336
112607,36482
112608,18955
112609,32963
112610,45744
112611,14181
112612,7277
112613,5706
112614,16861
112615,27898
112616,20333
112617,23315
112618,38961
112619,25283
112620,26506
112621,13701
112622,48223
112623,12230
112624,62563
112625,27620
112626,16453
112627,39625
112628,63583
112629,31743
112630,54864
112631,35921
112632,11384
112633,11572
112634,7601
112635,24605
112636,52325
112637,31108
112638,2522
112639,36017
112640,20778
112641,13984
112642,27678
112643,31746
112644,14170
112645,39454
112646,28777
112647,29042
112648,22414
112649,23198
112650,18998
112651,8344
112652,19251
112653,40257
112654,20227
112655,20289
112656,30039
112657,16407
112658,47717
112659,12885
112660,26022
112661,29019
112662,71921
112663,46093
112664,34623
112665,21290
112666,35964
112667,3791
112668,23858
112669,38475
112670,24442
112671,14526
112672,39297
112673,20877
112674,10625
112675,21914
112676,21399
112677,21807
112678,26111
112679,42644
112680,15947
112681,22027
112682,17433
112683,22127
112684,25323
112685,2819
112686,7451
112687,26252
112688,3847
112689,60747
112690,28720
112691,35510
112692,9297
112693,15086
112694,41895
112695,32185
112696,42643
112697,6724
112698,48211
112699,11427
112700,30622
112701,34150
112702,83622
112703,19150
112704,16719
112705,107902
112706,59986
112707,22040
112708,30959
112709,12133
112710,24814
112711,15871
112712,3961
112713,22035
112714,25728
112715,22699
112716,33179
112717,11457
112718,2136
112719,25123
112720,5072
112721,16669
112722,26846
112723,23668
112724,14831
112725,30819
112726,1018
112727,29521
112728,8011
112729,20403
112730,12455
112731,42228
112732,3734
112733,35953
112734,3796
112735,10281
112736,18068
112737,45374
112738,37291
112739,66381
112740,28778
112741,26908
112742,12494
112743,38999
112744,107778
112745,21395
112746,34344
112747,29195
112748,43165
112749,47660
112750,2775
112751,55263
112752,10436
112753,34458
112754,136848
112755,33408
112756,30939
112757,28406
112758,14587
112759,6310
112760,4087
112761,29835
112762,7749
112763,15610
112764,22506
112765,3042
112766,22672
112767,41392
112768,15753
112769,23978
112770,24229
112771,19970
112772,35527
112773,15464
112774,27477
112775,13328
112776,7283
112777,28363
112778,56785
112779,27709
112780,7676
112781,46747
112782,5555
112783,27905
112784,25918
112785,7810
112786,24498
112787,31349
112788,69794
112789,13465
112790,10050
112791,12034
112792,7357
112793,7833
112794,17580
112795,28901
112796,8447
112797,33736
112798,33936
112799,12716
112800,34881
112801,23894
112802,12471
112803,44819
112804,20529
112805,19468
112806,20492
112807,14831
112808,39451
112809,18655
112810,23457
112811,23403
112812,17244
112813,22672
112814,38895
112815,13988
112816,7793
112817,47804
112818,25323
112819,6138
112820,63482
112821,22782
112822,-2829
112823,25925
112824,30141
112825,16490
112826,16795
112827,22880
112828,21041
112829,23331
112830,22171
112831,28459
112832,21056
112833,43661
112834,16718
112835,5194
112836,7698
112837,76724
112838,42405
112839,50158
112840,26391
112841,34093
112842,27360
112843,13217
112844,15648
112845,13597
112846,12481
112847,35428
112848,34365
112849,18682
112850,61229
112851,15017
112852,32056
112853,115670
112854,13786
112855,17810
112856,8195
112857,14975
112858,22432
112859,95150
112860,8276
112861,10071
112862,6818
112863,34994
112864,19952
112865,5287
112866,11857
112867,6605
112868,9984
112869,38614
112870,137
112871,38063
112872,4457
112873,22850
112874,23024
112875,26673
112876,15725
112877,30132
112878,4514
112879,18472
112880,50698
112881,14539
112882,37757
112883,15907
112884,23008
112885,33548
112886,34110
112887,14254
112888,92392
112889,34915
112890,47521
112891,57106
112892,31912
112893,13698
112894,19736
112895,2754
112896,2181
112897,20739
112898,34736
112899,11349
112900,30834
112901,63724
112902,7638
112903,49770
112904,20839
112905,40127
112906,26056
112907,3105
112908,15586
112909,11342
112910,15013
112911,13784
112912,24572
112913,33203
112914,16539
112915,25722
112916,26342
112917,11686
112918,40447
112919,33371
112920,29015
112921,57096
112922,9428
112923,6256
112924,36482
112925,9566
112926,10424
112927,19033
112928,26410
112929,34174
112930,19107
112931,25316
112932,15208
112933,27149
112934,48666
112935,42256
112936,71871
112937,27550
112938,9931
112939,11818
112940,33083
112941,36577
112942,9394
112943,21136
112944,17553
112945,36869
112946,14010
112947,29431
112948,38457
112949,5294
112950,38248
112951,25268
112952,15937
112953,22694
112954,8389
112955,15757
112956,1746
112957,7821
112958,45681
112959,45633
112960,32963
112961,16112
112962,44871
112963,4419
112964,28953
112965,23106
112966,25749
112967,1837
112968,13680
112969,40320
112970,2715
112971,14015
112972,20695
112973,27445
112974,19343
112975,14021
112976,18082
112977,4293
112978,40990
112979,30864
112980,42595
112981,1002
112982,555
112983,17851
112984,2041
112985,-237
112986,7104
112987,6395
112988,16778
112989,60612
112990,39018
112991,20190
112992,22111
112993,28154
112994,18386
112995,37267
112996,2199
112997,17743
112998,81453
112999,61419
113000,13199
113001,11356
113002,22938
113003,42987
113004,5155
113005,6120
113006,29283
113007,18576
113008,25076
113009,5949
113010,10745
113011,22490
113012,28419
113013,23842
113014,39628
113015,41043
113016,31678
113017,24511
113018,17758
113019,31093
113020,38471
113021,37788
113022,17433
113023,27701
113024,57293
113025,32351
113026,21529
113027,29175
113028,27875
113029,14936
113030,41821
113031,3430
113032,7801
113033,20939
113034,64009
113035,23290
113036,55072
113037,38432
113038,12679
113039,15013
113040,23933
113041,6760
113042,33221
113043,30942
113044,24142
113045,9655
113046,54481
113047,22279
113048,1533
113049,1225
113050,38791
113051,21674
113052,20801
113053,14442
113054,8700
113055,32925
113056,3606
113057,4651
113058,37540
113059,34929
113060,38802
113061,15901
113062,13139
113063,23468
113064,24646
113065,25596
113066,6834
113067,14624
113068,3782
113069,24887
113070,86304
113071,17282
113072,17743
113073,34911
113074,7637
113075,38938
113076,25162
113077,20019
113078,37511
113079,60900
113080,14656
113081,63791
113082,9598
113083,19234
113084,11300
113085,17718
113086,13569
113087,28680
113088,8253
113089,13675
113090,23645
113091,48836
113092,30618
113093,22841
113094,5072
113095,44345
113096,4317
113097,19553
113098,44458
113099,42753
113100,23357
113101,29127
113102,18262
113103,29565
113104,42418
113105,25403
113106,52350
113107,30578
113108,23127
113109,17580
113110,42773
113111,12944
113112,35247
113113,26934
113114,10882
113115,10637
113116,50206
113117,33866
113118,4730
113119,40360
113120,9262
113121,31668
113122,41328
113123,41968
113124,6026
113125,59539
113126,7226
113127,19769
113128,49654
113129,10822
113130,20818
113131,21005
113132,20987
113133,43494
113134,29978
113135,7440
113136,50382
113137,9751
113138,46664
113139,31038
113140,10555
113141,23958
113142,6697
113143,2920
113144,4003
113145,58059
113146,24495
113147,7941
113148,41470
113149,21458
113150,36586
113151,23029
113152,7523
113153,81356
113154,23559
113155,7483
113156,45985
113157,29343
113158,9696
113159,4763
113160,14907
113161,19505
113162,4706
113163,11310
113164,35474
113165,8654
113166,5507
113167,28669
113168,43884
113169,35574
113170,28057
113171,33266
113172,4593
113173,9220
113174,60095
113175,34038
113176,28710
113177,6291
113178,27132
113179,7850
113180,12767
113181,27575
113182,21885
113183,22018
113184,106407
113185,20706
113186,9678
113187,13439
113188,21360
113189,21771
113190,25574
113191,18322
113192,12945
113193,9069
113194,7762
113195,30618
113196,7446
113197,20377
113198,38305
113199,45434
113200,4578
113201,25395
113202,11236
113203,27797
113204,49289
113205,79388
113206,30861
113207,17749
113208,15398
113209,26665
113210,56679
113211,19583
113212,36133
113213,116276
113214,29437
113215,24122
113216,21586
113217,13503
113218,16067
113219,10455
113220,7837
113221,2600
113222,25504
113223,19465
113224,22925
113225,31856
113226,35545
113227,37732
113228,35952
113229,20980
113230,6400
113231,24701
113232,11606
113233,30473
113234,33647
113235,27203
113236,44761
113237,37303
113238,57893
113239,29386
113240,15303
113241,26283
113242,12236
113243,19999
113244,18261
113245,-2089
113246,30139
113247,37356
113248,24546
113249,36647
113250,63864
113251,8075
113252,24776
113253,3566
113254,27375
113255,98443
113256,21227
113257,21449
113258,33901
113259,7536
113260,43966
113261,7671
113262,16209
113263,51480
113264,10519
113265,37559
113266,24074
113267,44470
113268,24743
113269,37352
113270,13126
113271,23492
113272,28421
113273,9450
113274,46939
113275,24758
113276,20136
113277,35317
113278,18069
113279,22928
113280,58608
113281,55272
113282,31066
113283,33826
113284,17013
113285,34531
113286,19728
113287,65971
113288,23480
113289,13649
113290,18433
113291,52953
113292,12494
113293,3955
113294,13521
113295,32380
113296,42839
113297,13445
113298,23231
113299,62057
113300,21139
113301,7143
113302,20130
113303,46080
113304,35086
113305,19509
113306,19870
113307,49619
113308,40272
113309,31111
113310,18580
113311,19349
113312,32759
113313,1696
113314,5483
113315,18358
113316,51950
113317,28754
113318,38820
113319,21196
113320,47570
113321,6258
113322,20773
113323,37432
113324,6168
113325,13921
113326,42990
113327,83292
113328,38047
113329,23857
113330,52119
113331,26744
113332,30804
113333,43244
113334,26271
113335,8431
113336,38087
113337,13808
113338,32336
113339,5196
113340,27039
113341,39570
113342,135757
113343,24319
113344,19288
113345,22648
113346,9822
113347,38945
113348,37968
113349,14398
113350,11347
113351,25795
113352,23023
113353,49932
113354,21078
113355,67626
113356,14778
113357,13433
113358,44894
113359,9428
113360,79388
113361,14927
113362,30434
113363,29369
113364,10370
113365,18181
113366,24636
113367,11317
113368,-1135
113369,35899
113370,9000
113371,42998
113372,9662
113373,10491
113374,19587
113375,27873
113376,20263
113377,27110
113378,40323
113379,61418
113380,33511
113381,50161
113382,20607
113383,8081
113384,10259
113385,27509
113386,16308
113387,41048
113388,28901
113389,9561
113390,45001
113391,21315
113392,9654
113393,87866
113394,18419
113395,52489
113396,11454
113397,27913
113398,25741
113399,65803
113400,6523
113401,7268
113402,21486
113403,47784
113404,4362
113405,19166
113406,10632
113407,53033
113408,123052
113409,46177
113410,1960
113411,26962
113412,26220
113413,20593
113414,56796
113415,4363
113416,25516
113417,12124
113418,32932
113419,46937
113420,21757
113421,39139
113422,38920
113423,50224
113424,19230
113425,43358
113426,43588
113427,18307
113428,26666
113429,15405
113430,5775
113431,6896
113432,36074
113433,38368
113434,9632
113435,21665
113436,35786
113437,28059
113438,10572
113439,66834
113440,66463
113441,23973
113442,42912
113443,88112
113444,7553
113445,25742
113446,25091
113447,30107
113448,36747
113449,19298
113450,8720
113451,41187
113452,16661
113453,21819
113454,49307
113455,31287
113456,15782
113457,35206
113458,63103
113459,3763
113460,3671
113461,489
113462,8344
113463,3330
113464,68089
113465,1958
113466,15872
113467,224
113468,20238
113469,15070
113470,19336
113471,16430
113472,46285
113473,89614
113474,34694
113475,53919
113476,6928
113477,20070
113478,11227
113479,27796
113480,43525
113481,86137
113482,36868
113483,10220
113484,19905
113485,31581
113486,26266
113487,15154
113488,21261
113489,29107
113490,36653
113491,33270
113492,48835
113493,31368
113494,31415
113495,6781
113496,31627
113497,17388
113498,24361
113499,3051
113500,6766
113501,24149
113502,18481
113503,15120
113504,10444
113505,2869
113506,5642
113507,22069
113508,34356
113509,14138
113510,21835
113511,-1558
113512,23449
113513,16770
113514,3703
113515,11149
113516,17567
113517,28650
113518,22090
113519,22051
113520,31585
113521,6497
113522,18706
113523,35564
113524,83371
113525,50866
113526,6111
113527,-298
113528,17942
113529,5253
113530,6009
113531,34484
113532,25593
113533,27371
113534,23932
113535,29712
113536,14762
113537,17231
113538,52599
113539,33076
113540,30056
113541,20613
113542,6308
113543,5232
113544,60214
113545,34442
113546,24044
113547,19268
113548,31851
113549,8761
113550,7704
113551,11325
113552,26077
113553,7606
113554,42825
113555,23396
113556,11047
113557,13676
113558,6331
113559,15155
113560,45903
113561,37260
113562,9054
113563,17054
113564,9981
113565,4186
113566,15548
113567,26485
113568,5690
113569,51466
113570,37421
113571,10503
113572,36023
113573,56548
113574,30580
113575,14771
113576,40461
113577,37798
113578,85407
113579,20355
113580,26743
113581,29749
113582,43440
113583,27101
113584,49780
113585,60457
113586,3799
113587,62236
113588,15292
113589,34744
113590,21777
113591,49377
113592,12099
113593,17007
113594,13414
113595,31990
113596,23753
113597,41651
113598,7607
113599,7842
113600,42273
113601,6340
113602,4538
113603,11162
113604,32092
113605,42203
113606,2929
113607,26537
113608,26038
113609,4373
113610,24209
113611,-1447
113612,13534
113613,59394
113614,11108
113615,3719
113616,70831
113617,34252
113618,56541
113619,25885
113620,23500
113621,24396
113622,10134
113623,11737
113624,22964
113625,22132
113626,13877
113627,30063
113628,9140
113629,36234
113630,24887
113631,25999
113632,26556
113633,3092
113634,7945
113635,7241
113636,56924
113637,7607
113638,25217
113639,-2974
113640,18948
113641,58671
113642,29008
113643,11645
113644,26280
113645,17563
113646,39862
113647,13108
113648,8686
113649,4496
113650,14348
113651,18577
113652,38475
113653,27093
113654,26272
113655,19307
113656,30892
113657,24337
113658,9753
113659,40612
113660,26807
113661,24511
113662,30291
113663,21196
113664,17127
113665,56488
113666,26633
113667,29738
113668,22404
113669,7295
113670,12069
113671,63791
113672,42931
113673,27346
113674,23413
113675,34022
113676,31448
113677,25217
113678,12524
113679,27213
113680,41104
113681,13790
113682,9076
113683,22821
113684,14496
113685,38250
113686,63694
113687,16888
113688,10961
113689,29748
113690,21197
113691,24378
113692,21749
113693,16566
113694,49238
113695,13400
113696,49064
113697,27705
113698,44369
113699,33218
113700,22710
113701,9863
113702,23040
113703,14398
113704,15356
113705,27250
113706,57283
113707,32797
113708,8415
113709,21784
113710,43083
113711,4945
113712,766
113713,25403
113714,3381
113715,24817
113716,26431
113717,30446
113718,9782
113719,31945
113720,2061
113721,25606
113722,31986
113723,2428
113724,34458
113725,74390
113726,29308
113727,183
113728,10178
113729,9765
113730,7104
113731,14161
113732,6915
113733,20402
113734,21261
113735,6310
113736,26561
113737,46684
113738,11513
113739,-495
113740,44788
113741,37067
113742,30904
113743,12792
113744,25576
113745,93506
113746,8294
113747,24153
113748,34213
113749,32577
113750,39143
113751,6078
113752,17854
113753,3412
113754,29999
113755,31256
113756,53008
113757,84537
113758,5177
113759,40995
113760,21854
113761,25919
113762,10232
113763,30418
113764,37866
113765,35576
113766,25602
113767,54747
113768,18564
113769,37571
113770,29607
113771,22555
113772,11660
113773,8587
113774,3932
113775,4912
113776,31918
113777,4154
113778,24532
113779,46316
113780,26374
113781,48044
113782,2024
113783,7389
113784,33321
113785,80245
113786,3098
113787,41104
113788,19564
113789,23517
113790,6893
113791,11391
113792,34091
113793,6568
113794,22475
113795,40551
113796,31671
113797,8333
113798,7014
113799,5837
113800,28512
113801,15352
113802,22759
113803,33906
113804,9687
113805,16330
113806,25115
113807,4716
113808,31049
113809,17488
113810,24907
113811,30391
113812,28836
113813,40934
113814,8131
113815,26457
113816,26350
113817,13001
113818,95848
113819,22792
113820,51676
113821,32635
113822,30321
113823,-369
113824,33528
113825,9182
113826,14668
113827,21070
113828,18811
113829,41049
113830,19398
113831,22378
113832,22337
113833,10243
113834,21329
113835,21225
113836,7163
113837,19033
113838,1533
113839,4789
113840,7572
113841,30988
113842,16294
113843,20625
113844,11663
113845,109773
113846,4251
113847,28491
113848,23040
113849,2011
113850,16914
113851,45132
113852,28879
113853,42910
113854,12626
113855,12835
113856,16425
113857,34312
113858,5236
113859,41017
113860,61622
113861,32857
113862,13788
113863,19952
113864,17942
113865,53424
113866,7066
113867,52112
113868,58844
113869,6032
113870,49720
113871,36631
113872,5609
113873,18311
113874,38132
113875,23119
113876,31821
113877,33261
113878,16330
113879,7707
113880,16507
113881,25318
113882,16147
113883,15297
113884,22710
113885,27450
113886,23648
113887,42544
113888,21944
113889,5812
113890,17088
113891,20719
113892,17650
113893,4399
113894,445
113895,28658
113896,21092
113897,37829
113898,7155
113899,16678
113900,87498
113901,13678
113902,13853
113903,14886
113904,7821
113905,58095
113906,1439
113907,8641
113908,4495
113909,18369
113910,28739
113911,11970
113912,19438
113913,38273
113914,84290
113915,32282
113916,26891
113917,26281
113918,27754
113919,15319
113920,31709
113921,23424
113922,34640
113923,-912
113924,11398
113925,5339
113926,4199
113927,14032
113928,25325
113929,12657
113930,17533
113931,19271
113932,18181
113933,54227
113934,16102
113935,39738
113936,11224
113937,19504
113938,12885
113939,46455
113940,40847
113941,25276
113942,9432
113943,10217
113944,26045
113945,24114
113946,54288
113947,9478
113948,19186
113949,28460
113950,16824
113951,47923
113952,35225
113953,36243
113954,16235
113955,11776
113956,25580
113957,2252
113958,14656
113959,2730
113960,17523
113961,15191
113962,11322
113963,30159
113964,44700
113965,23132
113966,30592
113967,9533
113968,16243
113969,23711
113970,32299
113971,7879
113972,15911
113973,8357
113974,31066
113975,23472
113976,15627
113977,23458
113978,33989
113979,24796
113980,4327
113981,48385
113982,34477
113983,12240
113984,46231
113985,15616
113986,25611
113987,2317
113988,50923
113989,16335
113990,7683
113991,13880
113992,27342
113993,18446
113994,9212
113995,23035
113996,32137
113997,40788
113998,34174
113999,17614
114000,455
114001,4397
114002,36208
114003,19460
114004,25580
114005,17978
114006,25215
114007,34116
114008,35212
114009,8419
114010,14516
114011,32604
114012,15891
114013,23999
114014,47005
114015,24432
114016,19881
114017,13024
114018,29643
114019,29938
114020,23031
114021,7907
114022,30570
114023,40364
114024,46602
114025,3012
114026,9446
114027,14661
114028,18778
114029,33096
114030,22699
114031,4797
114032,39156
114033,27892
114034,10877
114035,42247
114036,55091
114037,3595
114038,11513
114039,57738
114040,2441
114041,11761
114042,62473
114043,12737
114044,10586
114045,15323
114046,27754
114047,21485
114048,41306
114049,33429
114050,21281
114051,33199
114052,17732
114053,2722
114054,29407
114055,25766
114056,43385
114057,5690
114058,29567
114059,16587
114060,5368
114061,30594
114062,8825
114063,16707
114064,12158
114065,100436
114066,396
114067,11871
114068,18497
114069,56834
114070,66111
114071,23563
114072,31793
114073,9759
114074,39501
114075,8261
114076,15603
114077,9466
114078,44681
114079,32303
114080,27812
114081,6564
114082,64757
114083,69169
114084,29698
114085,20621
114086,47587
114087,10456
114088,23921
114089,19858
114090,20469
114091,15252
114092,75549
114093,40099
114094,6954
114095,6712
114096,27721
114097,13391
114098,9772
114099,22002
114100,16623
114101,68787
114102,27442
114103,23862
114104,82359
114105,1098
114106,31850
114107,25756
114108,22089
114109,23460
114110,9884
114111,-361
114112,8962
114113,19311
114114,43440
114115,64016
114116,3689
114117,14138
114118,50335
114119,27178
114120,18515
114121,52501
114122,6098
114123,42466
114124,18022
114125,80262
114126,48064
114127,2021
114128,16282
114129,7216
114130,50873
114131,36520
114132,52604
114133,4535
114134,35152
114135,56487
114136,12010
114137,20010
114138,918
114139,38540
114140,36615
114141,83438
114142,2811
114143,13488
114144,31617
114145,45124
114146,31486
114147,12055
114148,6637
114149,5431
114150,16034
114151,4874
114152,51838
114153,22241
114154,33406
114155,39703
114156,17567
114157,8898
114158,24439
114159,17110
114160,11295
114161,19710
114162,43861
114163,21553
114164,25877
114165,26350
114166,13924
114167,34174
114168,9735
114169,1298
114170,35042
114171,32704
114172,30404
114173,53379
114174,26153
114175,3484
114176,20969
114177,25634
114178,3109
114179,31000
114180,5758
114181,20170
114182,4349
114183,13831
114184,15284
114185,120361
114186,2247
114187,31748
114188,744
114189,47714
114190,24142
114191,-1731
114192,50880
114193,13677
114194,8032
114195,29130
114196,18410
114197,20638
114198,42604
114199,5360
114200,41310
114201,32397
114202,33776
114203,10211
114204,4101
114205,44805
114206,43806
114207,8510
114208,13534
114209,39571
114210,35119
114211,39763
114212,13604
114213,21923
114214,13126
114215,18008
114216,1522
114217,91431
114218,26884
114219,33214
114220,23930
114221,24386
114222,41379
114223,15248
114224,23021
114225,40418
114226,37282
114227,12547
114228,4488
114229,12810
114230,15828
114231,12741
114232,19860
114233,25660
114234,40384
114235,34448
114236,5517
114237,34520
114238,15685
114239,13414
114240,43116
114241,48836
114242,2311
114243,15895
114244,32613
114245,31465
114246,33909
114247,95204
114248,13284
114249,12664
114250,27440
114251,4528
114252,34942
114253,24454
114254,66567
114255,6116
114256,14992
114257,6334
114258,1853
114259,30506
114260,48736
114261,68457
114262,26324
114263,29011
114264,12496
114265,1931
114266,26764
114267,18848
114268,26423
114269,21239
114270,30469
114271,47318
114272,30593
114273,24285
114274,21599
114275,23007
114276,6406
114277,5007
114278,23106
114279,24498
114280,13403
114281,24344
114282,29956
114283,13824
114284,18618
114285,24106
114286,1280
114287,9157
114288,25599
114289,26703
114290,8120
114291,19563
114292,27323
114293,42237
114294,-983
114295,20073
114296,19931
114297,24799
114298,46183
114299,7419
114300,50423
114301,16870
114302,7965
114303,21988
114304,56827
114305,53125
114306,10090
114307,44860
114308,80634
114309,53666
114310,13528
114311,37755
114312,41593
114313,48999
114314,26177
114315,8817
114316,29153
114317,56168
114318,1716
114319,34135
114320,19276
114321,7196
114322,17271
114323,83325
114324,16187
114325,29183
114326,50279
